Tag;Monat;Jahr;Sonnenaufgang;Sonnenuntergang;Mondaufgang;Monduntergang
1;Jänner;2020;07:46;16:10;11:26;22:39
2;Jänner;2020;07:45;16:11;11:46;23:43
3;Jänner;2020;07:45;16:12;12:04;
4;Jänner;2020;07:45;16:13;12:24;00:46
5;Jänner;2020;07:45;16:14;12:45;01:51
6;Jänner;2020;07:45;16:16;13:09;02:57
7;Jänner;2020;07:45;16:17;13:39;04:05
8;Jänner;2020;07:44;16:18;14:15;05:15
9;Jänner;2020;07:44;16:19;15:01;06:22
10;Jänner;2020;07:44;16:20;15:59;07:26
11;Jänner;2020;07:43;16:22;17:07;08:20
12;Jänner;2020;07:43;16:23;18:23;09:05
13;Jänner;2020;07:42;16:24;19:43;09:42
14;Jänner;2020;07:42;16:26;21:03;10:13
15;Jänner;2020;07:41;16:27;22:21;10:39
16;Jänner;2020;07:40;16:28;23:39;11:03
17;Jänner;2020;07:40;16:30;;11:27
18;Jänner;2020;07:39;16:31;00:55;11:52
19;Jänner;2020;07:38;16:33;02:10;12:18
20;Jänner;2020;07:37;16:34;03:25;12:50
21;Jänner;2020;07:36;16:36;04:36;13:29
22;Jänner;2020;07:35;16:37;05:42;14:14
23;Jänner;2020;07:34;16:39;06:40;15:07
24;Jänner;2020;07:33;16:40;07:29;16:07
25;Jänner;2020;07:32;16:42;08:08;17:11
26;Jänner;2020;07:31;16:43;08:40;18:16
27;Jänner;2020;07:30;16:45;09:07;19:22
28;Jänner;2020;07:29;16:46;09:29;20:26
29;Jänner;2020;07:28;16:48;09:50;21:30
30;Jänner;2020;07:26;16:50;10:08;22:32
31;Jänner;2020;07:25;16:51;10:27;23:36
1;Februar;2020;07:24;16:53;10:47;
2;Februar;2020;07:23;16:54;11:10;00:40
3;Februar;2020;07:21;16:56;11:36;01:47
4;Februar;2020;07:20;16:58;12:08;02:54
5;Februar;2020;07:18;16:59;12:48;04:02
6;Februar;2020;07:17;17:01;13:40;05:07
7;Februar;2020;07:15;17:03;14:43;06:05
8;Februar;2020;07:14;17:04;15:56;06:55
9;Februar;2020;07:12;17:06;17:17;07:37
10;Februar;2020;07:11;17:08;18:39;08:11
11;Februar;2020;07:09;17:09;20:02;08:39
12;Februar;2020;07:08;17:11;21:23;09:05
13;Februar;2020;07:06;17:12;22:42;09:30
14;Februar;2020;07:04;17:14;;09:55
15;Februar;2020;07:03;17:16;00:00;10:21
16;Februar;2020;07:01;17:17;01:16;10:52
17;Februar;2020;06:59;17:19;02:29;11:28
18;Februar;2020;06:57;17:21;03:36;12:11
19;Februar;2020;06:56;17:22;04:36;13:01
20;Februar;2020;06:54;17:24;05:27;13:59
21;Februar;2020;06:52;17:25;06:08;15:01
22;Februar;2020;06:50;17:27;06:42;16:06
23;Februar;2020;06:48;17:29;07:10;17:11
24;Februar;2020;06:46;17:30;07:33;18:15
25;Februar;2020;06:45;17:32;07:54;19:20
26;Februar;2020;06:43;17:33;08:13;20:22
27;Februar;2020;06:41;17:35;08:32;21:26
28;Februar;2020;06:39;17:36;08:51;22:29
29;Februar;2020;06:37;17:38;09:12;23:34
1;März;2020;06:35;17:39;09:36;
2;März;2020;06:33;17:41;10:04;00:40
3;März;2020;06:31;17:43;10:40;01:46
4;März;2020;06:29;17:44;11:25;02:50
5;März;2020;06:27;17:46;12:20;03:51
6;März;2020;06:25;17:47;13:28;04:43
7;März;2020;06:23;17:49;14:44;05:28
8;März;2020;06:21;17:50;16:06;06:05
9;März;2020;06:19;17:52;17:31;06:36
10;März;2020;06:17;17:53;18:54;07:04
11;März;2020;06:15;17:55;20:17;07:29
12;März;2020;06:13;17:56;21:40;07:55
13;März;2020;06:11;17:57;23:00;08:21
14;März;2020;06:09;17:59;;08:51
15;März;2020;06:07;18:00;00:17;09:26
16;März;2020;06:05;18:02;01:29;10:07
17;März;2020;06:03;18:03;02:32;10:56
18;März;2020;06:01;18:05;03:26;11:52
19;März;2020;05:59;18:06;04:10;12:53
20;März;2020;05:57;18:08;04:45;13:57
21;März;2020;05:55;18:09;05:15;15:02
22;März;2020;05:53;18:11;05:39;16:07
23;März;2020;05:51;18:12;06:00;17:11
24;März;2020;05:49;18:13;06:19;18:14
25;März;2020;05:47;18:15;06:37;19:18
26;März;2020;05:45;18:16;06:56;20:21
27;März;2020;05:43;18:18;07:17;21:26
28;März;2020;05:41;18:19;07:39;22:31
29;März;2020;06:38;19:21;09:05;
30;März;2020;06:36;19:23;09:37;00:37
31;März;2020;06:34;19:24;10:17;01:41
1;April;2020;06:32;19:26;11:07;02:41
2;April;2020;06:30;19:27;12:08;03:36
3;April;2020;06:28;19:29;13:18;04:22
4;April;2020;06:26;19:30;14:36;05:01
5;April;2020;06:24;19:31;15:58;05:34
6;April;2020;06:22;19:33;17:21;06:02
7;April;2020;06:20;19:34;18:45;06:27
8;April;2020;06:18;19:36;20:09;06:52
9;April;2020;06:16;19:37;21:33;07:18
10;April;2020;06:14;19:39;22:55;07:47
11;April;2020;06:12;19:40;;08:20
12;April;2020;06:10;19:42;00:12;09:00
13;April;2020;06:08;19:43;01:22;09:47
14;April;2020;06:06;19:44;02:22;10:42
15;April;2020;06:04;19:46;03:10;11:44
16;April;2020;06:02;19:47;03:49;12:48
17;April;2020;06:00;19:49;04:19;13:53
18;April;2020;05:59;19:50;04:45;14:58
19;April;2020;05:57;19:52;05:07;16:02
20;April;2020;05:55;19:53;05:26;17:06
21;April;2020;05:53;19:54;05:45;18:09
22;April;2020;05:51;19:56;06:03;19:14
23;April;2020;05:49;19:57;06:22;20:18
24;April;2020;05:48;19:59;06:43;21:24
25;April;2020;05:46;20:00;07:08;22:30
26;April;2020;05:44;20:02;07:38;23:36
27;April;2020;05:42;20:03;08:15;
28;April;2020;05:41;20:04;09:01;00:37
29;April;2020;05:39;20:06;09:57;01:33
30;April;2020;05:37;20:07;11:03;02:20
1;Mai;2020;05:36;20:09;12:16;03:01
2;Mai;2020;05:34;20:10;13:34;03:34
3;Mai;2020;05:32;20:11;14:53;04:02
4;Mai;2020;05:31;20:13;16:15;04:28
5;Mai;2020;05:29;20:14;17:37;04:52
6;Mai;2020;05:28;20:16;19:01;05:16
7;Mai;2020;05:26;20:17;20:24;05:43
8;Mai;2020;05:25;20:18;21:46;06:13
9;Mai;2020;05:23;20:20;23:02;06:50
10;Mai;2020;05:22;20:21;;07:35
11;Mai;2020;05:20;20:22;00:09;08:28
12;Mai;2020;05:19;20:24;01:04;09:29
13;Mai;2020;05:18;20:25;01:48;10:33
14;Mai;2020;05:16;20:26;02:22;11:41
15;Mai;2020;05:15;20:28;02:50;12:47
16;Mai;2020;05:14;20:29;03:13;13:52
17;Mai;2020;05:12;20:30;03:33;14:56
18;Mai;2020;05:11;20:31;03:51;16:00
19;Mai;2020;05:10;20:33;04:09;17:03
20;Mai;2020;05:09;20:34;04:28;18:08
21;Mai;2020;05:08;20:35;04:48;19:14
22;Mai;2020;05:07;20:36;05:12;20:20
23;Mai;2020;05:06;20:38;05:40;21:28
24;Mai;2020;05:05;20:39;06:14;22:31
25;Mai;2020;05:04;20:40;06:58;23:30
26;Mai;2020;05:03;20:41;07:51;
27;Mai;2020;05:02;20:42;08:54;00:21
28;Mai;2020;05:01;20:43;10:05;01:03
29;Mai;2020;05:00;20:44;11:20;01:38
30;Mai;2020;05:00;20:45;12:37;02:07
31;Mai;2020;04:59;20:46;13:55;02:32
1;Juni;2020;04:58;20:47;15:15;02:55
2;Juni;2020;04:58;20:48;16:35;03:18
